Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
"Population, total",SP.POP.TOTL,Greenland,GRL,56295
"Population, total",SP.POP.TOTL,Grenada,GRD,117972
"Population, total",SP.POP.TOTL,Guam,GUM,167543
"Population, total",SP.POP.TOTL,Guatemala,GTM,15306316
"Population, total",SP.POP.TOTL,Guinea,GIN,11333365
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1743309
"Population, total",SP.POP.TOTL,Guyana,GUY,751115
"Population, total",SP.POP.TOTL,Haiti,HTI,10412740
"Population, total",SP.POP.TOTL,Honduras,HND,9127846
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7229500
"Population, total",SP.POP.TOTL,Hungary,HUN,9866468
"Population, total",SP.POP.TOTL,Iceland,ISL,327386
"Population, total",SP.POP.TOTL,India,IND,1307246509
"Population, total",SP.POP.TOTL,Indonesia,IDN,256229761
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,79961672
"Population, total",SP.POP.TOTL,Iraq,IRQ,36746488
"Population, total",SP.POP.TOTL,Ireland,IRL,4657740
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83896
"Population, total",SP.POP.TOTL,Israel,ISR,8215700
"Population, total",SP.POP.TOTL,Italy,ITA,60789140
"Population, total",SP.POP.TOTL,Jamaica,JAM,2784543
"Population, total",SP.POP.TOTL,Japan,JPN,127276000
"Population, total",SP.POP.TOTL,Jordan,JOR,8658026
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,17288285
"Population, total",SP.POP.TOTL,Kenya,KEN,45831863
"Population, total",SP.POP.TOTL,Kiribati,KIR,114985
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25126131
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,50746659
"Population, total",SP.POP.TOTL,Kosovo,XKX,1812771
"Population, total",SP.POP.TOTL,Kuwait,KWT,3761584
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5835500
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6691454
"Population, total",SP.POP.TOTL,Latvia,LVA,1993782
"Population, total",SP.POP.TOTL,Lebanon,LBN,6274342
"Population, total",SP.POP.TOTL,Lesotho,LSO,2095242
"Population, total",SP.POP.TOTL,Liberia,LBR,4519398
"Population, total",SP.POP.TOTL,Libya,LBY,6097764
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37096
"Population, total",SP.POP.TOTL,Lithuania,LTU,2932367
"Population, total",SP.POP.TOTL,Luxembourg,LUX,556319
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,604167
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1917557
"Population, total",SP.POP.TOTL,Madagascar,MDG,24215976
"Population, total",SP.POP.TOTL,Malawi,MWI,16477966
"Population, total",SP.POP.TOTL,Malaysia,MYS,30606459
"Population, total",SP.POP.TOTL,Maldives,MDV,416738
"Population, total",SP.POP.TOTL,Mali,MLI,17551814
"Population, total",SP.POP.TOTL,Malta,MLT,434558
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,50419
"Population, total",SP.POP.TOTL,Mauritania,MRT,3843174
"Population, total",SP.POP.TOTL,Mauritius,MUS,1261208
"Population, total",SP.POP.TOTL,Mexico,MEX,118755887
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,109024
"Population, total",SP.POP.TOTL,Moldova,MDA,2857815
"Population, total",SP.POP.TOTL,Monaco,MCO,36110
"Population, total",SP.POP.TOTL,Mongolia,MNG,2902823
"Population, total",SP.POP.TOTL,Montenegro,MNE,621810
"Population, total",SP.POP.TOTL,Morocco,MAR,34248603
"Population, total",SP.POP.TOTL,Mozambique,MOZ,26038704
"Population, total",SP.POP.TOTL,Myanmar,MMR,51072436
"Population, total",SP.POP.TOTL,Namibia,NAM,2243001
"Population, total",SP.POP.TOTL,Nauru,NRU,10940
"Population, total",SP.POP.TOTL,Nepal,NPL,27462106
"Population, total",SP.POP.TOTL,Netherlands,NLD,16865008
"Population, total",SP.POP.TOTL,New Caledonia,NCL,268050
"Population, total",SP.POP.TOTL,New Zealand,NZL,4516500
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6208676
"Population, total",SP.POP.TOTL,Niger,NER,19372014
"Population, total",SP.POP.TOTL,Nigeria,NGA,179379016
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,51856
"Population, total",SP.POP.TOTL,Norway,NOR,5137232
"Population, total",SP.POP.TOTL,Oman,OMN,4009267
"Population, total",SP.POP.TOTL,Pakistan,PAK,208251628
"Population, total",SP.POP.TOTL,Palau,PLW,17796
"Population, total",SP.POP.TOTL,Panama,PAN,3888793
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8464153
"Population, total",SP.POP.TOTL,Paraguay,PRY,6090721
"Population, total",SP.POP.TOTL,Peru,PER,30353951
"Population, total",SP.POP.TOTL,Philippines,PHL,101325201
"Population, total",SP.POP.TOTL,Poland,POL,38011735
"Population, total",SP.POP.TOTL,Portugal,PRT,10401062
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3534874
"Population, total",SP.POP.TOTL,Qatar,QAT,2214465
"Population, total",SP.POP.TOTL,Romania,ROU,19908979
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144237223
"Population, total",SP.POP.TOTL,Rwanda,RWA,11368451
"Population, total",SP.POP.TOTL,Samoa,WSM,201757
"Population, total",SP.POP.TOTL,San Marino,SMR,33389
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,197497
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,32125564
"Population, total",SP.POP.TOTL,Senegal,SEN,13970308
"Population, total",SP.POP.TOTL,Serbia,SRB,7130576
"Population, total",SP.POP.TOTL,Seychelles,SYC,91359
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7140688
"Population, total",SP.POP.TOTL,Singapore,SGP,5469724
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,37685
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5418649
"Population, total",SP.POP.TOTL,Slovenia,SVN,2061980
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,597375
"Population, total",SP.POP.TOTL,Somalia,SOM,13309235
"Population, total",SP.POP.TOTL,South Africa,ZAF,54729551
"Population, total",SP.POP.TOTL,South Sudan,SSD,11213284
"Population, total",SP.POP.TOTL,Spain,ESP,46480882
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21239457
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47789
"Population, total",SP.POP.TOTL,St. Lucia,LCA,174804
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,35261
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,106912
"Population, total",SP.POP.TOTL,Sudan,SDN,37003245
"Population, total",SP.POP.TOTL,Suriname,SUR,569682
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1125865
"Population, total",SP.POP.TOTL,Sweden,SWE,9696110
"Population, total",SP.POP.TOTL,Switzerland,CHE,8188649
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,20072232
"Population, total",SP.POP.TOTL,Tajikistan,TJK,8326348
"Population, total",SP.POP.TOTL,Tanzania,TZA,50814552
"Population, total",SP.POP.TOTL,Thailand,THA,69960943
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1184830
"Population, total",SP.POP.TOTL,Togo,TGO,7288383
"Population, total",SP.POP.TOTL,Tonga,TON,106626
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1450661
"Population, total",SP.POP.TOTL,Tunisia,TUN,11428948
"Population, total",SP.POP.TOTL,Turkiye,TUR,77181884
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5663152
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,34985
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10899
"Population, total",SP.POP.TOTL,Uganda,UGA,36336539
"Population, total",SP.POP.TOTL,Ukraine,UKR,45272155
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,8835951
"Population, total",SP.POP.TOTL,United Kingdom,GBR,64602298
"Population, total",SP.POP.TOTL,United States,USA,318386329
"Population, total",SP.POP.TOTL,Uruguay,URY,3391662
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,30757700
"Population, total",SP.POP.TOTL,Vanuatu,VUT,269927
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,30193258
"Population, total",SP.POP.TOTL,Viet Nam,VNM,91235504
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,107882
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4173398
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,27753304
"Population, total",SP.POP.TOTL,Zambia,ZMB,15737793
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,13855753
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,3.65757606530364
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.207046999760594
Population growth (annual %),SP.POP.GROW,Algeria,DZA,1.97904881035906
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-1.47894571116667
Population growth (annual %),SP.POP.GROW,Andorra,AND,0.355274942185653
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.68442896683492
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.831589247616481
Population growth (annual %),SP.POP.GROW,Argentina,ARG,1.09946109101836
Population growth (annual %),SP.POP.GROW,Armenia,ARM,-0.395592881362063
Population growth (annual %),SP.POP.GROW,Aruba,ABW,0.691615260101675
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.49156648912847
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.781541632525841
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,1.24820899735588
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,0.898582547265484
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,3.84537935863732
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.24596020808779
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.226568487744075
Population growth (annual %),SP.POP.GROW,Belarus,BLR,0.056151567510169
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.44392928847521
Population growth (annual %),SP.POP.GROW,Belize,BLZ,2.19427675238371
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.92622897984691
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,0.210544188304464
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,1.0193598434941
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.60331510672219
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-1.29347782804997
Population growth (annual %),SP.POP.GROW,Botswana,BWA,1.92508536769659
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.857834828724811
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,1.08975882376595
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,1.19611546302496
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-0.568389264052903
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.97977849923872
Population growth (annual %),SP.POP.GROW,Burundi,BDI,3.3458633833966
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,1.13001379235817
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,1.3977751944463
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,3.03550756998046
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.00142284689661
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,2.28758988319717
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,-0.0769490230926806
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.56998546576354
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,0.697214600852119
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.00681495918115
Population growth (annual %),SP.POP.GROW,China,CHN,0.630326389541893
Population growth (annual %),SP.POP.GROW,Colombia,COL,0.947136923375947
Population growth (annual %),SP.POP.GROW,Comoros,COM,2.15269220591586
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.44601675819051
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.39028820797079
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,1.09494595424381
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2.31524274847183
Population growth (annual %),SP.POP.GROW,Croatia,HRV,-0.407343184777633
Population growth (annual %),SP.POP.GROW,Cuba,CUB,0.0922325673162479
Population growth (annual %),SP.POP.GROW,Curacao,CUW,1.34764139563651
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,0.855564798922502
Population growth (annual %),SP.POP.GROW,Czechia,CZE,0.105277581527518
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.507053283010163
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,1.7680638456514
Population growth (annual %),SP.POP.GROW,Dominica,DMA,0.798904314260286
Population growth (annual %),SP.POP.GROW,Dominican Republic,DOM,1.2237834052777
Population growth (annual %),SP.POP.GROW,Ecuador,ECU,1.48359860231919
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,2.34379305041137
Population growth (annual %),SP.POP.GROW,El Salvador,SLV,0.385376455719377
Population growth (annual %),SP.POP.GROW,Equatorial Guinea,GNQ,4.0367432369581
Population growth (annual %),SP.POP.GROW,Eritrea,ERI,0.817492473750786
Population growth (annual %),SP.POP.GROW,Estonia,EST,-0.262256175097854
Population growth (annual %),SP.POP.GROW,Ethiopia,ETH,2.70542811266671
Population growth (annual %),SP.POP.GROW,Faroe Islands,FRO,0.0970242533510219
Population growth (annual %),SP.POP.GROW,Fiji,FJI,0.230397589525045
Population growth (annual %),SP.POP.GROW,Finland,FIN,0.413560207519414
Population growth (annual %),SP.POP.GROW,France,FRA,0.46824634207038
Population growth (annual %),SP.POP.GROW,French Polynesia,PYF,0.637131095156152
Population growth (annual %),SP.POP.GROW,Gabon,GAB,3.34110410137597
Population growth (annual %),SP.POP.GROW,"Gambia, The",GMB,2.9743344848207
Population growth (annual %),SP.POP.GROW,Georgia,GEO,0.0469539002549217
Population growth (annual %),SP.POP.GROW,Germany,DEU,0.416877359168292
Population growth (annual %),SP.POP.GROW,Ghana,GHA,2.40764489206261
Population growth (annual %),SP.POP.GROW,Gibraltar,GIB,0.126420318087511
Population growth (annual %),SP.POP.GROW,Greece,GRC,-0.666113290031891
Population growth (annual %),SP.POP.GROW,Greenland,GRL,-0.333398666658893
Population growth (annual %),SP.POP.GROW,Grenada,GRD,0.874356936993021
Population growth (annual %),SP.POP.GROW,Guam,GUM,0.292292129425125
Population growth (annual %),SP.POP.GROW,Guatemala,GTM,1.72875760277972
Population growth (annual %),SP.POP.GROW,Guinea,GIN,2.48293200818758
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,2.6479419321498
Population growth (annual %),SP.POP.GROW,Guyana,GUY,0.493149307612364
Population growth (annual %),SP.POP.GROW,Haiti,HTI,1.46596797524852
Population growth (annual %),SP.POP.GROW,Honduras,HND,1.84861910603263
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,0.702370950536049
Population growth (annual %),SP.POP.GROW,Hungary,HUN,-0.269378767165116
Population growth (annual %),SP.POP.GROW,Iceland,ISL,1.11250475522796
Population growth (annual %),SP.POP.GROW,India,IND,1.24036218382689
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,1.15950664180271
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,1.897214219374
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,3.50227675046767
Population growth (annual %),SP.POP.GROW,Ireland,IRL,0.731001376585771
Population growth (annual %),SP.POP.GROW,Isle of Man,IMN,-0.295168031488441
Population growth (annual %),SP.POP.GROW,Israel,ISR,1.91954379859591
Population growth (annual %),SP.POP.GROW,Italy,ITA,0.917504095962437
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,0.410748099114478
Population growth (annual %),SP.POP.GROW,Japan,JPN,-0.132694222147042
Population growth (annual %),SP.POP.GROW,Jordan,JOR,11.7940156559538
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,1.47267087305755
Population growth (annual %),SP.POP.GROW,Kenya,KEN,2.2941780158286
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,1.46654343733585
Population growth (annual %),SP.POP.GROW,"Korea, Dem. People's Rep.",PRK,0.49597980701513
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,0.628149861433639
Population growth (annual %),SP.POP.GROW,Kosovo,XKX,-0.294473630866066
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,3.10674056152789
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,2.0061078993716
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,1.36491228821043
Population growth (annual %),SP.POP.GROW,Latvia,LVA,-0.941743354234222
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,9.97196954242858
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,1.02193622193702
Population growth (annual %),SP.POP.GROW,Liberia,LBR,2.05859453753694
Population growth (annual %),SP.POP.GROW,Libya,LBY,1.86288826279856
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,0.784827172615701
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,-0.859827343070249
Population growth (annual %),SP.POP.GROW,Luxembourg,LUX,2.35697870484045
Population growth (annual %),SP.POP.GROW,"Macao SAR, China",MAC,1.80257581895543
Population growth (annual %),SP.POP.GROW,North Macedonia,MKD,-0.268678976911211
Population growth (annual %),SP.POP.GROW,Madagascar,MDG,2.6271377711217
Population growth (annual %),SP.POP.GROW,Malawi,MWI,2.78881323875244
Population growth (annual %),SP.POP.GROW,Malaysia,MYS,1.55301827143161
Population growth (annual %),SP.POP.GROW,Maldives,MDV,3.91748340604239
Population growth (annual %),SP.POP.GROW,Mali,MLI,3.17067551792802
Population growth (annual %),SP.POP.GROW,Malta,MLT,1.9967544083193
Population growth (annual %),SP.POP.GROW,Marshall Islands,MHL,-1.83357958458324
Population growth (annual %),SP.POP.GROW,Mauritania,MRT,2.64221126030642
Population growth (annual %),SP.POP.GROW,Mauritius,MUS,0.181022097854624
Population growth (annual %),SP.POP.GROW,Mexico,MEX,1.2414667155537
Population growth (annual %),SP.POP.GROW,"Micronesia, Fed. Sts.",FSM,0.381376448431569
Population growth (annual %),SP.POP.GROW,Moldova,MDA,-0.0609720602101012
Population growth (annual %),SP.POP.GROW,Monaco,MCO,1.91520497126224
Population growth (annual %),SP.POP.GROW,Mongolia,MNG,2.00668670836189
Population growth (annual %),SP.POP.GROW,Montenegro,MNE,0.0970220113323688
Population growth (annual %),SP.POP.GROW,Morocco,MAR,1.3080629397791
Population growth (annual %),SP.POP.GROW,Mozambique,MOZ,3.0689338689503
Population growth (annual %),SP.POP.GROW,Myanmar,MMR,0.833860100341235
Population growth (annual %),SP.POP.GROW,Namibia,NAM,1.73094393878771
Population growth (annual %),SP.POP.GROW,Nauru,NRU,2.27429604672952
Population growth (annual %),SP.POP.GROW,Nepal,NPL,0.293747924382451
Population growth (annual %),SP.POP.GROW,Netherlands,NLD,0.359828172726548
Population growth (annual %),SP.POP.GROW,New Caledonia,NCL,1.65510642970682
Population growth (annual %),SP.POP.GROW,New Zealand,NZL,1.66101200071152
Population growth (annual %),SP.POP.GROW,Nicaragua,NIC,1.44870479177075
Population growth (annual %),SP.POP.GROW,Niger,NER,3.78117877025801
Population growth (annual %),SP.POP.GROW,Nigeria,NGA,2.6281238528085
Population growth (annual %),SP.POP.GROW,Northern Mariana Islands,MNP,-0.548094105534998
Population growth (annual %),SP.POP.GROW,Norway,NOR,1.12773667734928
Population growth (annual %),SP.POP.GROW,Oman,OMN,4.9227496816523
Population growth (annual %),SP.POP.GROW,Pakistan,PAK,1.40918297342086
Population growth (annual %),SP.POP.GROW,Palau,PLW,-0.0505603785945698
Population growth (annual %),SP.POP.GROW,Panama,PAN,1.74411571812086
Population growth (annual %),SP.POP.GROW,Papua New Guinea,PNG,2.61569523033674
Population growth (annual %),SP.POP.GROW,Paraguay,PRY,1.40654396942745
Population growth (annual %),SP.POP.GROW,Peru,PER,1.04365112789631
Population growth (annual %),SP.POP.GROW,Philippines,PHL,1.6168406041295
Population growth (annual %),SP.POP.GROW,Poland,POL,-0.0748462292920506
Population growth (annual %),SP.POP.GROW,Portugal,PRT,-0.539190466792077
Population growth (annual %),SP.POP.GROW,Puerto Rico,PRI,-1.6331283312239
Population growth (annual %),SP.POP.GROW,Qatar,QAT,8.42688590935528
Population growth (annual %),SP.POP.GROW,Romania,ROU,-0.374575497762261
Population growth (annual %),SP.POP.GROW,Russian Federation,RUS,0.299667432459938
Population growth (annual %),SP.POP.GROW,Rwanda,RWA,2.3775340228914
Population growth (annual %),SP.POP.GROW,Samoa,WSM,0.905168292851843
Population growth (annual %),SP.POP.GROW,San Marino,SMR,0.31196593678607
Population growth (annual %),SP.POP.GROW,Sao Tome and Principe,STP,1.91185977393148
Population growth (annual %),SP.POP.GROW,Saudi Arabia,SAU,2.02203271109992
Population growth (annual %),SP.POP.GROW,Senegal,SEN,2.71905100988297
Population growth (annual %),SP.POP.GROW,Serbia,SRB,-0.469489291237153
Population growth (annual %),SP.POP.GROW,Seychelles,SYC,1.55539570911507
Population growth (annual %),SP.POP.GROW,Sierra Leone,SLE,2.49317673033998
Population growth (annual %),SP.POP.GROW,Singapore,SGP,1.29844017799226
Population growth (annual %),SP.POP.GROW,Sint Maarten (Dutch part),SXM,2.90226583447676
Population growth (annual %),SP.POP.GROW,Slovak Republic,SVK,0.0970454215834878
Population growth (annual %),SP.POP.GROW,Slovenia,SVN,0.0983519219451147
Population growth (annual %),SP.POP.GROW,Solomon Islands,SLB,2.54476579755385
Population growth (annual %),SP.POP.GROW,Somalia,SOM,3.49209773142402
Population growth (annual %),SP.POP.GROW,South Africa,ZAF,1.57629422132566
Population growth (annual %),SP.POP.GROW,South Sudan,SSD,0.961085280307357
Population growth (annual %),SP.POP.GROW,Spain,ESP,-0.298951059088036
Population growth (annual %),SP.POP.GROW,Sri Lanka,LKA,0.508369830959759
Population growth (annual %),SP.POP.GROW,St. Kitts and Nevis,KNA,0.0460462982726556
Population growth (annual %),SP.POP.GROW,St. Lucia,LCA,0.473649181569482
Population growth (annual %),SP.POP.GROW,St. Martin (French part),MAF,-1.06630065312841
Population growth (annual %),SP.POP.GROW,St. Vincent and the Grenadines,VCT,-0.501955691417342
Population growth (annual %),SP.POP.GROW,Sudan,SDN,2.77449286124806
Population growth (annual %),SP.POP.GROW,Suriname,SUR,1.0118034959337
Population growth (annual %),SP.POP.GROW,Eswatini,SWZ,0.672496411974745
Population growth (annual %),SP.POP.GROW,Sweden,SWE,0.992219728591882
Population growth (annual %),SP.POP.GROW,Switzerland,CHE,1.22010397343287
Population growth (annual %),SP.POP.GROW,Syrian Arab Republic,SYR,-6.85211767607702
