TABL. 6. WYCHOWANKOWIE INSTYTUCJONALNEJ PIECZY ZASTĘPCZEJ WEDŁUG WIEKU ,,,,,,,,,,,
Stan w dniu 31 grudnia ,,,,,,,,,,,
RESIDENTS OF INSTITUTIONAL FOSTER CARE BY AGE ,,,,,,,,,,,"powrót
back"
As of 31st December,,,,,,,,,,,
"WOJEWÓDZTWA
VOIVODSHIPS",,"Ogółem
Total",W tym w wieku lat   Of which at age,,,,,,,,
Zachodniopomorskie  ,,14,—,—,—,2,5,7,—,,
,,,,,,,,,,,
PLACÓWKI ŁĄCZĄCE ZADANIA,,,,,,,,,,,
CENTRES COMBINING TASKS ,,,,,,,,,,,
POLSKA ,2022,2 740,26,85,142,273,705,1 307,202,,
POLAND,2023,2 845,15,91,164,239,731,1 408,197,,
Dolnośląskie  ,,282,1,14,30,22,82,123,10,,
Kujawsko-pomorskie  ,,182,2,18,17,29,44,64,8,,
Lubelskie  ,,418,1,8,17,29,114,209,40,,
Lubuskie  ,,28,—,—,—,2,9,15,2,,
Łódzkie  ,,87,—,1,9,6,23,43,5,,
Małopolskie  ,,83,—,—,2,4,24,43,10,,
Mazowieckie  ,,124,—,—,5,10,30,70,9,,
Opolskie  ,,—,—,—,—,—,—,—,—,,
Podkarpackie  ,,75,—,2,2,9,21,26,15,,
Podlaskie  ,,289,1,5,19,28,67,151,18,,
Pomorskie  ,,195,2,1,1,6,47,128,10,,
Śląskie  ,,261,—,4,16,17,67,138,19,,
Świętokrzyskie  ,,95,—,2,4,10,23,50,6,,
Warmińsko-mazurskie  ,,87,3,16,12,10,11,29,6,,
Wielkopolskie  ,,260,—,2,14,35,79,115,15,,
Zachodniopomorskie  ,,379,5,18,16,22,90,204,24,,
,,,,,,,,,,,
REGIONALNE PLACÓWKI OPIEKUŃCZO-TERAPEUTYCZNE,,,,,,,,,,,
REGIONAL CARE AND THERAPY CENTRES,,,,,,,,,,,
POLSKA ,2022,314,3,62,72,73,67,35,2,,
POLAND,2023,308,1,56,73,77,54,45,2,,
Podkarpackie,,50,—,7,4,15,15,9,—,,
Podlaskie  ,,19,—,5,4,8,2,—,—,,
Pomorskie  ,,45,—,10,14,4,13,4,—,,
Śląskie  ,,123,1,30,37,27,13,13,2,,
Świętokrzyskie  ,,30,—,—,4,4,5,17,—,,
Zachodniopomorskie  ,,41,—,4,10,19,6,2,—,,
INTERWENCYJNE OŚRODKI PREADOPCYJNE,,,,,,,,,,,
PRE-ADOPTIVE INTERVENTION CENTRES,,,,,,,,,,,
POLSKA ,2022,56,56,—,-,-,-,-,—,,
POLAND,2023,51,51,—,—,—,—,—,—,,
Łódzkie  ,,11,11,—,—,—,—,—,—,,
Mazowieckie ,,25,25,—,—,—,—,—,—,,
Śląskie  ,,15,15,—,—,—,—,—,—,,
