# index, label, _pos
47,"SCHOELLER, H","array([ 35.02847417, -41.78840185])"
48,"SCHON, G","array([ 36.23540765, -43.09995399])"
49,"FAZIO, R","array([ 40.72869753, -40.64055918])"
50,"KUBOKI, K","array([ 23.06406383, -59.54301045])"
51,"SIGRIST, M","array([ 23.30550773, -64.96419396])"
52,"LEE, PA","array([ 26.73077527, -54.34029754])"
53,"CHUBUKOV, AV","array([ 35.00656797, -63.97759209])"
54,"STARYKH, OA","array([ 26.13481288, -54.54317786])"
55,"WANG, DF","array([ 33.56235668, -43.18811072])"
56,"GRUBER, C","array([ 20.84108386, -33.73157774])"
57,"RODRIGUEZ, JP","array([ 32.92501799, -42.74532077])"
58,"MILLIS, AJ","array([ 32.96900444, -62.72786005])"
59,"SHRAIMAN, BI","array([ 28.06452864, -52.16821733])"
60,"ARNDT, PF","array([ 49.78445  , -32.9740256])"
61,"HEINZEL, T","array([ 64.47071953, -36.62031408])"
62,"MUSAELIAN, KA","array([ 44.34121425, -68.63882262])"
63,"JONALASINIO, G","array([ 34.71099871, -14.36963581])"
64,"PRESILLA, C","array([ 41.49857904, -20.4734131 ])"
65,"SJOSTRAND, J","array([ 41.40663296, -11.37997279])"
66,"DERZHKO, O","array([-13.83979252, -82.0431719 ])"
67,"KROKHMALSKII, T","array([-20.86728149, -86.32697389])"
68,"JENSEN, J","array([ 26.93360684, -66.86921973])"
69,"IVANOV, DA","array([ 37.31610413, -57.04795789])"
70,"LEE, H","array([ 50.41324109, -62.24668836])"
71,"LEVITOV, LS","array([ 46.20386576, -52.17662409])"
72,"JUNGWIRTH, T","array([ 45.00306077, -49.75750738])"
73,"SMRCKA, L","array([ 51.45598973, -49.30941437])"
74,"KETOJA, JA","array([18.58887506, 23.53343545])"
75,"SATIJA, II","array([18.17661753, 15.59725833])"
76,"CHAVES, JC","array([18.12076484, 25.63724217])"
77,"HOWARD, M","array([  6.04303283, -26.78868702])"
78,"CARDY, J","array([ -1.46017709, -31.66299755])"
79,"PARISI, G","array([  2.05522317, -35.50988433])"
80,"TSALLIS, C","array([-0.92939786, -4.46177448])"
81,"STARIOLO, DA","array([ -8.6942169 , -12.36098972])"
82,"KIRCZENOW, G","array([ 55.99370564, -30.64714444])"
83,"YOON, H","array([ -77.86404942, -268.87705725])"
84,"DEUTSCH, JM","array([ -78.0488914 , -270.93141735])"
85,"LEVIEN, R","array([ 35.51146567, -45.49691475])"
86,"NAYAK, C","array([ 28.31863905, -47.64095606])"
87,"WILCZEK, F","array([ 38.49763628, -47.13123951])"
88,"PODGORNIK, R","array([-175.30677892,   99.95120765])"
89,"GHOSH, H","array([ 10.63116091, -71.29464778])"
90,"SARDAR, M","array([  2.90501654, -79.19834443])"
91,"KOLLER, D","array([ 27.64326752, -89.16113218])"
92,"MARTIN, MC","array([ 22.09322842, -82.02887274])"
93,"STEPHENS, PW","array([ 28.17727668, -89.7275519 ])"
94,"MIHALY, L","array([ 26.58356727, -88.85849506])"
95,"PEKKER, S","array([ 27.27336219, -90.18901538])"
96,"JANOSSY, A","array([ 26.73551441, -91.42991578])"
97,"CHAUVET, O","array([ 30.91661327, -84.30373238])"
98,"FORRO, L","array([ 30.11940255, -84.02526853])"
99,"FERRARI, R","array([-130.06829963,  136.8345935 ])"
100,"CHOU, T","array([ 15.68716848, -18.84799989])"
101,"LUCAS, SK","array([ 20.54608716, -12.38960103])"
102,"STONE, HA","array([ 26.43904394, -15.75180686])"
103,"BETOURAS, J","array([ 38.46149784, -76.57430593])"
104,"JOYNT, R","array([ 44.92512317, -69.35190716])"
105,"BERCHE, B","array([-10.70615918, -42.20253916])"
106,"BERCHE, PE","array([-10.53143994, -42.94599604])"
107,"HENKEL, M","array([  0.07268726, -41.09955266])"
108,"IGLOI, F","array([ -8.00409673, -46.39572077])"
109,"LAJKO, P","array([-11.88017584, -45.02457128])"
110,"MORGAN, S","array([ -9.59909046, -43.41519449])"
111,"TURBAN, L","array([-12.17206596, -44.05430868])"
112,"INARREA, J","array([ 35.93914209, -27.94821629])"
113,"PLATERO, G","array([ 30.09838265, -26.07666679])"
114,"ODOR, G","array([ 1.1954108 , -6.20395606])"
115,"FALCI, G","array([ 36.01191744, -37.06147182])"
116,"TAGLIACOZZO, A","array([ 28.4840156 , -45.61850634])"
117,"GIAQUINTA, G","array([ 35.43500399, -37.36429284])"
118,"ZHONG, QF","array([ 11.12164229, -46.99897068])"
119,"SORELLA, S","array([ 18.96471757, -50.81339996])"
120,"GRUNINGER, M","array([ 38.86251827, -98.02424456])"
121,"MUNZEL, J","array([ 37.25319623, -98.82889444])"
122,"GAYMANN, A","array([ 38.08231682, -98.4639685 ])"
123,"ZIBOLD, A","array([ 37.06487148, -97.92119426])"
124,"GESERICH, HP","array([ 36.24642745, -98.69877499])"
125,"KOPP, T","array([ 34.19237566, -87.35641737])"
126,"CHAMON, CDC","array([ 30.25617176, -54.32310713])"
127,"MUDRY, C","array([ 27.01231201, -46.2950527 ])"
128,"WEN, X","array([ 31.22080361, -54.4551527 ])"
129,"KWON, HJ","array([ 11.96746121, -54.88951735])"
130,"HOUGHTON, A","array([ 18.04287271, -56.08227703])"
131,"MARSTON, JB","array([ 17.97245221, -53.66517915])"
132,"MCKENZIE, RH","array([ 37.03698598, -65.83284668])"
133,"DOMINICIS, CD","array([ 17.68482455, -26.76550815])"
134,"ORLAND, H","array([  0.87130413, -29.33167949])"
135,"TEMESVARI, T","array([ 13.39095316, -24.44508738])"
136,"CURADO, EMF","array([-17.24506965,   3.45807256])"
137,"TAMARIT, FA","array([-12.10798246,  -0.27379239])"
138,"RUTENBERG, AD","array([ 12.49362219, -14.01063579])"
139,"ARONOV, AG","array([ 27.9157659, -32.1601653])"
140,"KRAVTSOV, VE","array([ 29.37119474, -42.55553539])"
141,"LERNER, IV","array([ 31.19561355, -35.13448043])"
142,"KOTECKY, CBR","array([196.08248047, 155.30462078])"
143,"GOULIAN, M","array([ -3.08257173, -39.22694719])"
144,"MILNER, ST","array([-18.0364997 , -34.70674154])"
145,"PELITI, L","array([  2.63015377, -30.80203221])"
146,"HONG, J","array([ 45.10033124, -68.62770481])"
147,"KEE, H","array([ 34.08302503, -57.04285012])"
148,"CASULLERAS, J","array([ 75.60244296, -25.26495807])"
149,"BORONAT, J","array([ 76.92626688, -23.52795031])"
150,"STOLZE, J","array([ 14.67989901, -67.06783346])"
151,"NOPPERT, A","array([  5.28085193, -69.633238  ])"
152,"MULLER, G","array([  8.72370553, -64.49671779])"
153,"GOLDHABER, AS","array([ 28.80289448, -36.49031556])"
154,"JAIN, JK","array([ 28.44952139, -44.33362864])"
155,"FISCHER, W","array([ -9.56528884, -50.19272173])"
156,"LESCHKE, H","array([-13.78326947, -43.20832695])"
157,"MUELLER, P","array([  0.81520389, -53.44523939])"
158,"MONASSON, R","array([ -0.16957972, -25.48751262])"
159,"ZECCHINA, R","array([ -0.85292904, -27.70953009])"
160,"SANBORN, BA","array([-180.20299218,   -2.43491462])"
161,"PENC, K","array([ 20.69413029, -71.73485111])"
162,"MILA, F","array([ 19.24997087, -62.0875034 ])"
163,"SHIBA, H","array([ 15.52598844, -67.11568554])"
164,"HLUBINA, R","array([ 12.41390692, -52.44285692])"
165,"GIAMARCHI, T","array([ 27.90683007, -58.6286227 ])"
166,"DOUSSAL, PL","array([ 16.17906157, -45.36194537])"
167,"TIKOFSKY, AM","array([ 26.01507815, -45.36559136])"
168,"BAILEY, DB","array([ 15.96539139, -51.04013886])"
169,"BRAY, AJ","array([ -2.06274404, -23.76237138])"
170,"LUKYANCHUK, IA","array([ 13.3779935 , -67.67061801])"
171,"ZHITOMIRSKY, ME","array([ 22.70341086, -64.91438048])"
172,"OLGUIN, D","array([102.28810419, -64.02370178])"
173,"BAQUERO, R","array([ 95.88968832, -63.00882218])"
174,"POILBLANC, D","array([ 18.98899527, -67.55898106])"
175,"SCALAPINO, DJ","array([ 21.55310123, -59.55755374])"
176,"HANKE, W","array([ 17.58130229, -56.36381512])"
177,"LASSIG, M","array([  0.11552049, -30.23788275])"
178,"COMTET, A","array([ 13.7104947 , -22.93176817])"
179,"DESBOIS, J","array([ 20.46165208, -19.88049606])"
180,"MONTHUS, C","array([  9.94082225, -34.24654069])"
181,"DIEZ, E","array([ 22.93931313, -24.21190054])"
182,"SANCHEZ, A","array([ 17.33805865, -35.20337775])"
183,"DOMINGUEZADAME, F","array([ 22.51655155, -27.54143815])"
184,"PRAGUE, CBJJE","array([235.64693798,  24.89183968])"
185,"MARSEILLE, C","array([235.32039893,  22.97724216])"
186,"NACHTERGAELE, B","array([ 14.14900171, -16.84436598])"
187,"SIEWERT, J","array([ 42.06194206, -41.60670957])"
188,"ZAIKIN, AD","array([ 36.66688042, -48.47276031])"
189,"TONER, J","array([ -3.2006565 , -40.45722897])"
190,"LAMMERT, PE","array([-13.21784522, -40.15223448])"
191,"ROKHSAR, DS","array([-16.26491781, -39.32447693])"
192,"KOB, W","array([ -0.85681979, -31.83168997])"
193,"ANDERSEN, HC","array([ -9.08118955, -27.25226977])"
194,"JAYANNAVAR, AM","array([ 68.05926438, -46.49891918])"
195,"DEO, PS","array([ 70.97013191, -54.27142676])"
196,"PAREEK, TP","array([ 71.79983764, -47.25586667])"
197,"YOSHIOKA, D","array([ 31.65797026, -56.01736193])"
198,"KATO, H","array([ 35.82315425, -48.21942574])"
199,"HUCKESTEIN, B","array([ 38.30906676, -24.56527118])"
200,"BALENTS, L","array([ 25.20852753, -45.60620497])"
201,"SIMON, SH","array([ 34.98241804, -51.42326912])"
202,"FATH, G","array([ 21.02333848, -48.69780285])"
203,"SOLYOM, J","array([ 15.32362385, -51.48053223])"
204,"DUKAN, S","array([ 50.4142624 , -54.76653888])"
205,"TESANOVIC, Z","array([ 36.60697319, -55.08305382])"
206,"DORSEY, AT","array([ 17.68531867, -20.48858207])"
207,"NORMAN, MR","array([ 25.79424393, -62.24257449])"
208,"LIU, DZ","array([ 33.45851509, -51.34128241])"
209,"LEVIN, K","array([ 29.71472749, -53.06822642])"
210,"MALY, J","array([ 29.43442786, -49.00821731])"
211,"LIU, D","array([ 25.09902042, -37.22470322])"
212,"SARMA, SD","array([ 26.90917405, -52.76026845])"
213,"HESSELBO, B","array([ -2.10314884, -26.457944  ])"
214,"STINCHCOMBE, RB","array([  6.02382931, -29.7561027 ])"
215,"SCHOLLWOECK, U","array([  6.76057794, -54.69408757])"
216,"JOLICOEUR, T","array([  6.06752984, -61.9654435 ])"
217,"HANISCH, T","array([ 14.24185602, -69.53288237])"
218,"KLEINE, B","array([ 16.46266666, -68.21197107])"
219,"RITZL, A","array([ 12.37681592, -68.76194004])"
220,"MUELLERHARTMANN, E","array([ 19.25029595, -63.251363  ])"
221,"GOLUBOV, AA","array([ 47.70516707, -46.92513466])"
222,"MAZIN, II","array([ 44.48784924, -64.83987874])"
223,"LIECHTENSTEINA, AI","array([ 78.54489852, 211.08635227])"
224,"MAZINA, II","array([ 80.14369392, 209.97499023])"
225,"ANDERSENA, OK","array([ 80.3296503 , 211.91636316])"
226,"CREFFIELD, CE","array([ 21.20888686, -73.80526642])"
227,"KLEPFISH, EG","array([ 13.70125339, -81.76645736])"
228,"PIKE, ER","array([ 14.57208814, -85.09361424])"
229,"SARKAR, S","array([ 17.08042034, -85.69570665])"
230,"NATTERMANN, T","array([ 12.27429622, -37.53657393])"
231,"SCHEIDL, S","array([ 19.43987481, -50.09202375])"
232,"KORSHUNOV, SE","array([ 11.37570638, -46.33186815])"
233,"LI, MS","array([  5.0718114 , -41.79518754])"
234,"KAMAL, M","array([ 24.74751214, -38.79335504])"
235,"MUSSLIMANI, ZH","array([ 21.85848714, -40.25565802])"
236,"AUERBACH, A","array([ 25.37391098, -46.5564928 ])"
237,"GOTTSTEIN, CT","array([11.15894975,  6.23444373])"
238,"WERNER, RF","array([11.83865709, -2.05385555])"
239,"ONELLION, M","array([ 36.96128275, -74.72857973])"
240,"PHYSICS, DO","array([ 27.89828065, -70.96032326])"
241,"WISCONSIN, UO","array([ 34.85915034, -79.96421475])"
242,"AL, SATE","array([256.5801536 ,   5.12729007])"
243,"STRONG, SP","array([ 62.56044627, -36.46979373])"
244,"ZUPANOVIC, P","array([40.8148995 , -0.06102919])"
245,"BJELIS, A","array([ 37.43417436, -10.19784681])"
246,"BARISIC, S","array([42.90712573,  4.64157418])"
247,"KALTHOFF, W","array([  7.60771303, -14.77992149])"
248,"SCHWARZER, S","array([  8.88766158, -18.67487975])"
249,"RISTOW, GH","array([ 18.72478256, -13.4168168 ])"
250,"HERRMANN, HJ","array([ -1.19337568, -21.55513698])"
251,"WIEGMANN, PB","array([ 56.27665943, -62.95669597])"
252,"ZABRODIN, AV","array([ 65.36669892, -67.56827178])"
253,"SHYTOV, AV","array([ 36.86962744, -51.15846311])"
254,"VINOKUR, VM","array([ 26.07774183, -55.49397184])"
255,"ARRIGONI, E","array([ 20.88890818, -57.14291629])"
256,"STRINATI, GC","array([  9.75500757, -59.1587769 ])"
257,"ALTSHULER, BL","array([ 33.56347498, -46.30836921])"
258,"IOFFE, LB","array([ 27.63767682, -49.14403312])"
259,"LARKIN, AI","array([ 33.3068655 , -47.18334686])"
260,"RENN, SR","array([ 32.15055794, -32.08153914])"
261,"AROVAS, DP","array([ 35.03332721, -34.47845657])"
262,"HUCHT, A","array([-22.418291  , -43.60513302])"
263,"MOSCHEL, A","array([-21.85306731, -42.66666272])"
264,"USADEL, KD","array([-12.62605213, -41.65721691])"
265,"PARISI, PBG","array([276.70455608, -91.96372118])"
266,"BARNES, C","array([ 44.84720836, -24.95097888])"
267,"JOHNSON, BL","array([ 56.98466739, -30.44455986])"
268,"ZHELEZNYAK, AT","array([ 46.841075  , -74.97934234])"
269,"YAKOVENKO, VM","array([ 45.71990947, -71.37234385])"
270,"TAGUCHI, Y","array([ 16.67793471, -71.35923065])"
271,"TAKAYASU, H","array([  8.9488479 , -45.56513202])"
272,"LEHMANN, N","array([49.7441112 , -4.34995064])"
273,"SAVIN, DV","array([48.31030818, -8.02198874])"
274,"SOKOLOV, VV","array([ 45.9599984 , -10.56992505])"
275,"SOMMERS, HJ","array([47.1482764 , -8.04895264])"
276,"GUARNERI, I","array([ 40.92391014, -13.86433539])"
277,"ZAKRZEWSKI, KZJ","array([40.86721363, -8.8132621 ])"
278,"MOLINARI, L","array([32.39966473, -9.59643988])"
279,"CASATI, G","array([ 44.61177169, -15.17634349])"
280,"JARZYNSKI, C","array([-161.28056641,  136.19298035])"
281,"JULIAN, J","array([266.98025019, -78.44977876])"
282,"BOGHOSIAN, BM","array([-10.33331285, -21.18316038])"
283,"TAYLOR, W","array([  2.737909  , -22.04968389])"
284,"KENNA, R","array([-100.54093546, -257.0777544 ])"
285,"IRVING, AC","array([-102.63647846, -257.4130013 ])"
286,"HALASZ, MA","array([ 12.69988766, -27.43325893])"
287,"VERBAARSCHOT, JJM","array([  5.51107786, -33.45502748])"
288,"ENGELHARDT, M","array([ 48.99435261, -79.18172107])"
289,"DOTSENKO, V","array([  9.14060633, -31.40076184])"
290,"PICCO, M","array([  1.18072555, -30.90251594])"
291,"PUJOL, P","array([  5.68951508, -41.54085682])"
292,"AHN, C","array([ 56.59798196, -68.26623352])"
293,"LEE, K","array([ 42.98848334, -66.08541987])"
294,"NAM, S","array([ 53.71357338, -70.74487309])"
295,"ILLUMINATI, F","array([ 65.96362448, -29.77450412])"
296,"VIOLA, L","array([ 47.92547359, -46.01572135])"
297,"YI, P","array([ 52.17228387, -71.78109518])"
298,"PASQUIER, DBV","array([ 21.80519506, -29.91720497])"
299,"SERBAN, D","array([ 22.94115229, -36.92783215])"
300,"ARODZ, H","array([-39.94025273, -32.7219121 ])"
301,"BERNARD, D","array([  8.78574388, -23.05642749])"
302,"PROVERO, P","array([-24.28663566, -31.12784954])"
303,"VINTI, S","array([-26.52944858, -29.4460753 ])"
304,"BOETTGER, W","array([  81.49857361, -256.39813873])"
305,"WISSOWSKI, H","array([  82.00570566, -254.46742512])"
306,"KASTRUP, HA","array([  80.05272063, -255.01328847])"
307,"STEVENS, MJ","array([-28.45939561, -41.54491302])"
308,"GREST, GS","array([-15.76396266, -40.9021228 ])"
309,"PANKRATOV, O","array([ 61.23732711, -60.31310257])"
310,"SCHEFFLER, M","array([ 50.16599746, -50.66430823])"
311,"STAMPFL, C","array([ 53.40838835, -44.88253304])"
312,"MADER, KA","array([ 59.75992182, -73.67871186])"
313,"WANG, LW","array([ 53.54220944, -69.87137856])"
314,"ZUNGER, A","array([ 56.18766554, -68.92657026])"
315,"HERNANDEZ, E","array([ 75.70574422, -51.06727085])"
316,"GILLAN, MJ","array([ 71.05652712, -60.52827826])"
317,"GONZE, X","array([ 61.52366161, -62.14008757])"
318,"GHOSEZ, P","array([ 66.10440863, -61.1130544 ])"
319,"GODBY, RW","array([ 70.0146798 , -58.70232627])"
320,"HOHENBERG, PC","array([-48.66456314, 166.1644136 ])"
321,"B, J","array([-47.59025671, 164.49868013])"
322,"FLACH, S","array([ 34.74885131, -37.10294764])"
323,"BUGRIJ, A","array([266.11902523,  33.30656019])"
324,"RUBTSOV, V","array([265.38619576,  31.50236436])"
325,"SHADURA, V","array([267.34824447,  31.77977272])"
326,"MARTINO, SD","array([ 73.03264136, -24.31313313])"
327,"SIENA, SD","array([ 74.02878578, -25.23640917])"
328,"ALFINITO, E","array([28.28865532, 24.41698707])"
329,"LEO, M","array([27.1008144 , 22.67767856])"
330,"LEO, RA","array([27.6819411 , 21.45997284])"
331,"PALESE, M","array([26.36744258, 21.79871728])"
332,"SOLIANI, G","array([26.58903608, 14.41364449])"
333,"LORENZANA, J","array([ 16.20222846, -61.11751972])"
334,"SAWATZKY, GA","array([ 29.3006235 , -72.44913684])"
335,"FLATTE, ME","array([ 39.01465593, -14.71853473])"
336,"RUNGE, E","array([ 36.81148919, -21.04534616])"
337,"EHRENREICH, H","array([ 38.75324011, -32.96989417])"
338,"LATKOVIC, M","array([41.05586196, -1.45244364])"
339,"SHIMSHONI, E","array([ 36.74240163, -53.07230095])"
340,"HABIB, S","array([ 30.67661849, -14.52069548])"
341,"SAXENA, A","array([ 34.47513949, -33.69996284])"
342,"ZAPOTOCKY, M","array([ 25.07186741, -25.83670812])"
343,"ZAKRZEWSKI, W","array([29.32806149, -7.77202592])"
344,"PAULUS, B","array([  5.81549787, -71.8115103 ])"
345,"FULDE, P","array([  7.10238446, -66.75993251])"
346,"STOLL, H","array([  9.90320475, -68.37840253])"
347,"BASKARAN, G","array([  4.61158104, -57.00187506])"
348,"KANHERE, DG","array([-10.54030847, -63.11159248])"
349,"ARJUNWADKAR, M","array([ -6.38403136, -60.75853407])"
350,"BASU, R","array([ -5.60677765, -61.02902406])"
351,"NIKSIC, H","array([45.65165988, 11.68339359])"
352,"TUTIS, E","array([44.59276235, 12.26569468])"
353,"AVRON, JE","array([18.18324124,  5.3139388 ])"
354,"SEILER, R","array([19.77596784,  1.19396236])"
355,"ZOGRAF, PG","array([19.03266892,  8.36388813])"
356,"SANDVIK, AW","array([ 25.53924028, -56.6084411 ])"
357,"SACHDEV, S","array([ 18.2399404 , -52.69241887])"
358,"CHKLOVSKII, DB","array([ 35.58799435, -39.96537638])"
359,"VILK, YM","array([ 11.50100534, -67.88585573])"
360,"TREMBLAY, AMS","array([  5.81920925, -70.69948198])"
361,"PELIZZOLA, A","array([ -6.89904221, -13.49075699])"
362,"BUZANO, C","array([-13.20831798,  -7.45884125])"
363,"CHANDRA, P","array([ 23.44170609, -49.58753906])"
364,"SHERRINGTON, D","array([ 19.96978074, -26.17341531])"
365,"ALHASSID, Y","array([ 45.24154659, -31.51027269])"
366,"ATTIAS, H","array([ 52.37994096, -24.21207333])"
367,"ANDERS, FB","array([ 27.91663844, -73.75185614])"
368,"NORMAND, B","array([ 26.29757252, -58.89573937])"
369,"KOHNO, H","array([ 18.98537245, -58.21476527])"
370,"FUKUYAMA, H","array([ 18.61758865, -54.49067309])"
371,"TSVELIK, AM","array([ 19.38636151, -51.58710587])"
372,"SHELTON, D","array([ 12.48363383, -47.57681557])"
373,"LIEB, EH","array([-198.18396233,  -64.66968689])"
374,"SOLOVEJ, JP","array([-195.78954846,  -65.27538715])"
375,"YNGVASON, J","array([-196.90002778,  -66.86590152])"
376,"GINGRAS, MJP","array([ 22.16051491, -66.89399737])"
377,"HUSE, DA","array([ 20.09600333, -52.29914392])"
378,"MONTORSI, A","array([ 44.5268258 , -38.42983774])"
379,"CAMPBELL, DK","array([ 31.79538492, -45.95556518])"
380,"LEE, J","array([ 21.58442789, -58.07505676])"
381,"INSTITUTE, L","array([ 13.47643142, -57.53545017])"
382,"YORK, CCON","array([ 14.33324752, -56.31903541])"
383,"REULET, B","array([ 63.8346842 , -68.88400361])"
384,"RAMIN, M","array([ 58.10826629, -66.59848086])"
385,"BOUCHIAT, H","array([ 63.39563604, -69.39966129])"
386,"MAILLY, D","array([ 46.27626486, -59.86544577])"
387,"CHEN, J","array([ 39.6755557 , -33.56426418])"
388,"KOBES, R","array([ 46.36175807, -26.32930411])"
389,"WANG, J","array([ 50.2007548 , -28.49295021])"
390,"SACHRAJDA, AS","array([ 60.69925209, -31.20781323])"
391,"FENG, Y","array([ 60.76183808, -37.50651099])"
392,"TAYLOR, RP","array([ 59.32260874, -30.14694983])"
393,"HENNING, L","array([ 59.51318467, -29.45952309])"
394,"ZAWADZKI, P","array([ 62.28824783, -30.03252846])"
395,"COLERIDGE, PT","array([ 60.20838281, -30.16809495])"
396,"STERN, A","array([ 18.01481475, -45.29739394])"
397,"HALPERIN, BI","array([ 35.00539336, -46.0117342 ])"
398,"HACKENBROICH, G","array([ 35.9604787 , -36.00268506])"
399,"WEIDENMUELLER, HA","array([ 33.88551098, -28.68455163])"
400,"ROSCH, A","array([ 40.83443898, -62.177572  ])"
401,"ODONOVAN, C","array([ 40.33602473, -72.64921351])"
402,"CARBOTTE, JC","array([ 48.94172796, -81.2385192 ])"
403,"MAKSE, H","array([-215.75265096,   -6.54959231])"
404,"AMMON, B","array([ 15.12453444, -61.86099008])"
405,"TROYER, M","array([ 21.10573659, -63.99668307])"
406,"TSUNETSUGU, H","array([ 14.19969048, -64.46415057])"
407,"MAGNEE, PHC","array([ 64.56309302, -58.29061578])"
408,"WEES, BJV","array([ 62.54519525, -53.54703359])"
409,"KLAPWIJK, TM","array([ 54.92340886, -58.91443813])"
410,"GRAAF, WVD","array([ 65.25308371, -57.80258828])"
411,"BORGHS, G","array([ 63.43061062, -56.84024351])"
412,"BERGERHOFF, B","array([-5.86004659, 19.90659704])"
413,"LITIM, D","array([-5.01830275, 17.57493913])"
414,"LOLA, S","array([-2.2030204 , 20.99577223])"
415,"WETTERICH, C","array([ 3.90961625, 16.67048763])"
416,"KIM, J","array([ 40.97256056, -63.79245604])"
417,"LEE, T","array([ 49.28237856, -71.06314734])"
418,"REDNER, S","array([ 17.25065618, -42.73128383])"
419,"UNIVERSITY, B","array([ 11.42333294, -38.30826683])"
420,"VAKARCHUK, I","array([-197.88648242,  -49.81427592])"
421,"TKACHUK, V","array([-196.29699453,  -48.60419837])"
422,"KULIY, T","array([-198.16507187,  -47.84925463])"
423,"SANTOS, RRD","array([-13.15626561,  -8.57145601])"
424,"CASSANELLO, C","array([ 17.66814539, -37.69997753])"
425,"FRADKIN, E","array([ 18.78942773, -46.44126397])"
426,"AZCOITI, V","array([  2.90411527, -19.65618468])"
427,"FOLLANA, E","array([  7.89271224, -24.46230847])"
428,"RITORT, F","array([  6.18607827, -26.17656809])"
429,"SUN, Y","array([ 50.79299387, -33.04670222])"
430,"QIN, S","array([ 26.70107253, -52.13098555])"
431,"NG, T","array([ 26.45992714, -57.02651651])"
432,"SU, Z","array([ 34.6374382 , -52.06304181])"
433,"BASLER, M","array([70.62397504,  7.14090191])"
434,"KRECH, W","array([66.07796734,  1.71966953])"
435,"PLATOV, KY","array([69.35771955,  8.22089595])"
436,"JUAN, Y","array([54.19159541, -4.69664264])"
437,"KAXIRAS, E","array([ 50.39807684, -12.18249285])"
438,"ZEGER, LM","array([55.05539841, -5.34666804])"
439,"ANTONELLI, A","array([53.3614821 , -6.88896747])"
440,"KARTHA, S","array([-38.18237899, -65.36645066])"
441,"KRUMHANSL, J","array([-39.5597258 , -65.36387346])"
442,"SETHNA, J","array([-31.61250027, -63.59057534])"
443,"WICKHAM, L","array([-39.08517077, -64.12942729])"
444,"HATTEL, S","array([237.8135033 ,  64.19905174])"
445,"WHEATLEY, J","array([238.93981576,  65.84333879])"
446,"EISENBERG, E","array([ 25.8917857 , -12.77977032])"
447,"AVIGUR, R","array([26.73308872, -4.86760426])"
448,"SHNERB, N","array([28.05949657, -7.56755539])"
449,"PAZMANDI, F","array([ 20.06715687, -44.88799821])"
450,"ZIMANYI, GT","array([ 28.04037732, -53.26898105])"
