activity name,time started,time ended,comment,categories,record tags,duration,duration minutes
"Nauka",2024-12-13 15:04:35,2024-12-13 16:43:35,"KartkaZadaniowa","","MN",1:39:0,99
"Poza domem",2024-12-13 16:45:08,2024-12-14 01:02:08,"","","Znajomi",8:17:0,497
"Spanie",2024-12-14 01:13:15,2024-12-14 14:38:15,"Wyspany","","Wyspany",13:25:0,805
"Poza domem",2024-12-14 15:36:43,2024-12-14 18:49:52,"","","Spacer",3:13:9,193
"Nauka",2024-12-14 18:54:07,2024-12-15 03:06:07,"Projekt","","MN",8:12:0,492
"Spanie",2024-12-14 20:27:28,2024-12-14 21:21:30,"Wyspany","","",0:54:2,54
"Spanie",2024-12-15 03:26:30,2024-12-15 13:27:24,"Wyspany","","Wyspany",10:0:54,600
"Poza domem",2024-12-15 15:39:02,2024-12-15 18:40:24,"","","Spacer",3:1:22,181
"Nauka",2024-12-15 19:07:50,2024-12-16 02:32:50,"Projekt","","MN",7:25:0,445
"Spanie",2024-12-16 02:50:58,2024-12-16 09:29:03,"Niewyspany","","Niewyspany ",6:38:5,398
"Poza domem",2024-12-16 13:09:52,2024-12-16 18:37:58,"","","Studia",5:28:6,328
"Nauka",2024-12-16 19:04:52,2024-12-16 22:07:54,"Projekt","","MN",3:3:2,183
"Poza domem",2024-12-16 22:12:01,2024-12-17 01:28:18,"","","Znajomi",3:16:17,196
"Spanie",2024-12-17 01:44:33,2024-12-17 09:27:37,"Niewyspany","","Niewyspany ",7:43:4,463
"Poza domem",2024-12-17 09:48:16,2024-12-17 16:39:18,"","","Studia",6:51:2,411
"Nauka",2024-12-17 19:02:57,2024-12-17 19:44:43,"Kolos","","Hiszpański",0:41:46,41
"Oglądanie",2024-12-17 19:47:11,2024-12-17 20:58:12,"","","",1:11:1,71
"Spanie",2024-12-18 02:14:10,2024-12-18 14:44:34,"Wyspany","","Wyspany",12:30:24,750
"Poza domem",2024-12-18 15:09:34,2024-12-18 16:40:01,"","","Studia",1:30:27,90
"Nauka",2024-12-18 16:40:19,2024-12-18 17:09:50,"Projekt","","TWD",0:29:31,29
"Nauka",2024-12-18 18:32:49,2024-12-18 18:50:27,"Projekt","","TWD",0:17:38,17
"Poza domem",2024-12-18 19:12:54,2024-12-19 00:12:06,"","","Znajomi",4:59:12,299
"Spanie",2024-12-19 02:03:58,2024-12-19 11:20:06,"Niewyspany","","Niewyspany ",9:16:8,556
"Poza domem",2024-12-19 11:47:38,2024-12-19 19:45:23,"MINI","","Studia",7:57:45,477
"Oglądanie",2024-12-19 19:46:58,2024-12-19 20:11:40,"","","",0:24:42,24
"Nauka",2024-12-19 21:13:39,2024-12-19 21:56:58,"Projekt","","MN",0:43:19,43
"Nauka",2024-12-19 22:20:29,2024-12-19 23:29:13,"KartkaZadaniowa","","MN",1:8:44,68
"Spanie",2024-12-20 00:32:38,2024-12-20 11:20:23,"","","Wyspany",10:47:45,647
"Poza domem",2024-12-20 11:51:29,2024-12-20 15:25:04,"","","Studia",3:33:35,213
"Poza domem",2024-12-20 16:16:31,2024-12-20 17:34:20,"","","Studia",1:17:49,77
"Nauka",2024-12-20 23:09:24,2024-12-21 00:26:16,"Kolos","","RP",1:16:52,76
"Poza domem",2024-12-21 00:53:59,2024-12-21 02:35:48,"","","Spacer",1:41:49,101
"Spanie",2024-12-21 03:47:56,2024-12-21 13:13:14,"","","Niewyspany ",9:25:18,565
"Nauka",2024-12-21 19:27:52,2024-12-21 19:58:48,"Projekt","","Java",0:30:56,30
"Poza domem",2024-12-21 20:00:02,2024-12-22 03:27:16,"","","Znajomi",7:27:14,447
"Spanie",2024-12-22 03:27:28,2024-12-22 14:57:23,"","","Wyspany",11:29:55,689
"Poza domem",2024-12-22 16:06:44,2024-12-22 23:25:42,"","","Korepetycje Praca",7:18:58,438
"Spanie",2024-12-23 03:12:04,2024-12-23 12:33:24,"","","Niewyspany ",9:21:20,561
"Nauka",2024-12-23 19:09:33,2024-12-24 00:30:06,"Kolos","","RP",5:20:33,320
"Spanie",2024-12-24 02:07:56,2024-12-24 12:54:15,"","","Niewyspany ",10:46:19,646
"Spanie",2024-12-25 01:54:15,2024-12-25 13:25:47,"","","Wyspany",11:31:32,691
"Nauka",2024-12-25 17:19:47,2024-12-25 22:11:30,"Kolos","","RP",4:51:43,291
"Nauka",2024-12-25 23:06:58,2024-12-26 00:10:58,"Kolos","","RP",1:4:0,64
"Spanie",2024-12-26 03:17:09,2024-12-26 14:12:51,"","","Wyspany",10:55:42,655
"Poza domem",2024-12-26 16:45:34,2024-12-26 17:18:47,"","","",0:33:13,33
"Nauka",2024-12-26 18:53:52,2024-12-26 19:10:46,"Projekt","","Java",0:16:54,16
"Spanie",2024-12-26 23:03:33,2024-12-27 15:07:23,"","","Wyspany",16:3:50,963
"Nauka",2024-12-27 19:08:40,2024-12-27 20:20:55,"Projekt","","Java",1:12:15,72
"Spanie",2024-12-28 02:30:38,2024-12-28 13:48:49,"","","Niewyspany ",11:18:11,678
"Nauka",2024-12-28 16:47:32,2024-12-28 20:33:32,"Projekt","","Java",3:46:0,226
"Spanie",2024-12-29 02:35:32,2024-12-29 10:39:32,"","","Niewyspany ",8:4:0,484
"Nauka",2024-12-29 16:52:19,2024-12-29 20:00:03,"Projekt","","MN",3:7:44,187
"Nauka",2024-12-29 21:54:13,2024-12-29 23:48:11,"Praca Domowa","","TWD",1:53:58,113
"Spanie",2024-12-30 00:55:01,2024-12-30 13:06:55,"","","Wyspany",12:11:54,731
"Poza domem",2024-12-30 16:21:59,2024-12-30 22:09:59,"","","Korepetycje Praca",5:48:0,348
"Spanie",2024-12-31 01:06:55,2024-12-31 12:01:27,"","","Wyspany",10:54:32,654
"Spanie",2025-01-01 04:11:27,2025-01-01 10:16:59,"","","Niewyspany ",6:5:32,365
"Nauka",2025-01-01 16:43:36,2025-01-02 00:16:36,"Kolos","","RP",7:33:0,453
"Spanie",2025-01-02 02:35:59,2025-01-02 13:07:13,"","","Wyspany",10:31:14,631
"Nauka",2025-01-02 18:34:00,2025-01-02 23:15:41,"Projekt","","MN",4:41:41,281
"Spanie",2025-01-03 01:22:03,2025-01-03 13:09:03,"","","Wyspany",11:47:0,707
"Poza domem",2025-01-03 14:39:43,2025-01-03 19:22:43,"","","Korepetycje Praca",4:43:0,283
"Spanie",2025-01-04 03:16:13,2025-01-04 14:08:02,"","","Wyspany",10:51:49,651
"Nauka",2025-01-04 18:11:28,2025-01-04 18:38:48,"Projekt","","Java",0:27:20,27
"Spanie",2025-01-04 22:37:28,2025-01-05 08:43:28,"","","Wyspany",10:6:0,606
"Spanie",2025-01-06 04:02:19,2025-01-06 11:03:30,"","","Niewyspany ",7:1:11,421
"Poza domem",2025-01-06 18:17:58,2025-01-06 20:45:58,"","","Spacer",2:28:0,148
"Nauka",2025-01-06 19:02:27,2025-01-06 20:02:27,"Projekt","","Java",1:0:0,60
"Spanie",2025-01-06 22:28:29,2025-01-07 10:02:29,"","","Wyspany",11:34:0,694
"Poza domem",2025-01-07 10:08:18,2025-01-07 12:29:49,"","","Studia",2:21:31,141
"Nauka",2025-01-07 16:03:38,2025-01-07 18:12:34,"Kolos","","MN",2:8:56,128
"Nauka",2025-01-07 19:22:09,2025-01-07 21:56:59,"Kolos","","MN",2:34:50,154
"Spanie",2025-01-08 00:37:41,2025-01-08 08:02:53,"","","Niewyspany ",7:25:12,445
"Poza domem",2025-01-08 08:10:53,2025-01-08 12:23:13,"","","Studia",4:12:20,252
"Nauka",2025-01-08 14:20:44,2025-01-08 22:08:31,"Projekt","","TWD",7:47:47,467
"Spanie",2025-01-09 01:27:31,2025-01-09 11:41:31,"","","Niewyspany ",10:14:0,614
"Poza domem",2025-01-09 11:53:39,2025-01-09 20:07:42,"","","Studia",8:14:3,494
"Nauka",2025-01-09 21:10:59,2025-01-10 00:35:59,"Kolos","","MN",3:25:0,205
"Spanie",2025-01-10 02:25:17,2025-01-10 11:08:37,"","","Niewyspany ",8:43:20,523
"Poza domem",2025-01-10 11:32:02,2025-01-10 22:27:35,"","","Studia",10:55:33,655
"Nauka",2025-01-10 23:09:52,2025-01-11 00:21:52,"Projekt","","MN",1:12:0,72
"Spanie",2025-01-11 03:32:52,2025-01-11 13:50:09,"","","Wyspany",10:17:17,617
"Nauka",2025-01-11 11:51:25,2025-01-12 02:09:25,"Projekt","","MN",14:18:0,858
"Spanie",2025-01-12 03:17:25,2025-01-12 12:41:49,"","","Niewyspany ",9:24:24,564
"Nauka",2025-01-12 13:28:49,2025-01-12 15:33:03,"Projekt","","MN",2:4:14,124
"Poza domem",2025-01-12 15:40:03,2025-01-12 17:03:32,"","","Spacer",1:23:29,83
"Nauka",2025-01-12 17:03:32,2025-01-12 19:23:19,"Projekt","","Java",2:19:47,139
"Nauka",2025-01-12 19:53:40,2025-01-12 20:30:43,"Projekt","","TWD",0:37:3,37
"Nauka",2025-01-12 20:35:43,2025-01-12 22:41:57,"Kolos","","RP",2:6:14,126
"Nauka",2025-01-12 20:36:10,2025-01-13 00:23:10,"Kolos","","RP",3:47:0,227
"Spanie",2025-01-13 00:03:57,2025-01-13 07:38:57,"","","Niewyspany ",7:35:0,455
"Poza domem",2025-01-13 07:55:57,2025-01-13 11:52:02,"","","Studia",3:56:5,236
"Nauka",2025-01-13 12:16:08,2025-01-13 13:30:56,"Kolos","","MN",1:14:48,74
"Nauka",2025-01-13 14:47:30,2025-01-13 17:24:31,"Kolos","","RP",2:37:1,157
"Spanie",2025-01-14 00:35:07,2025-01-14 09:30:52,"","","Niewyspany ",8:55:45,535
"Poza domem",2025-01-14 09:49:52,2025-01-14 16:03:33,"","","Studia",6:13:41,373
"Nauka",2025-01-14 17:07:33,2025-01-15 00:11:40,"Projekt","","TWD",7:4:7,424
"Spanie",2025-01-15 00:30:40,2025-01-15 11:28:04,"","","Niewyspany ",10:57:24,657
"Poza domem",2025-01-15 11:49:28,2025-01-15 15:13:54,"","","Studia",3:24:26,204
"Nauka",2025-01-15 23:05:41,2025-01-15 23:48:07,"Projekt","","TWD",0:42:26,42
"Spanie",2025-01-16 00:48:07,2025-01-16 11:31:07,"","","Niewyspany ",10:43:0,643
"Poza domem",2025-01-16 11:45:18,2025-01-16 19:20:25,"","","Studia",7:35:7,455
"Poza domem",2025-01-16 19:25:54,2025-01-17 00:20:54,"","","Znajomi",4:55:0,295
"Spanie",2025-01-17 01:15:20,2025-01-17 11:37:39,"","","Niewyspany ",10:22:19,622
"Poza domem",2025-01-17 11:47:39,2025-01-17 14:49:46,"","","Studia",3:2:7,182
"Nauka",2025-01-17 15:35:10,2025-01-17 16:24:16,"Kolos","","AiSD",0:49:6,49
"Poza domem",2025-01-17 16:28:30,2025-01-17 18:22:05,"","","Studia",1:53:35,113
"Nauka",2025-01-17 19:11:17,2025-01-17 19:44:51,"Projekt","","TWD",0:33:34,33
"Poza domem",2025-01-17 19:56:09,2025-01-17 22:15:55,"","","Spacer",2:19:46,139
"Nauka",2025-01-17 23:27:19,2025-01-18 02:07:19,"Kolos","","AiSD",2:40:0,160
"Spanie",2025-01-18 02:27:19,2025-01-18 12:19:46,"","","Niewyspany ",9:52:27,592
"Poza domem",2025-01-18 13:54:46,2025-01-18 15:46:02,"","","Spacer",1:51:16,111
"Nauka",2025-01-18 16:08:42,2025-01-19 03:09:47,"Kolos","","AiSD",11:1:5,661
"Spanie",2025-01-19 03:09:49,2025-01-19 13:11:48,"","","Niewyspany ",10:1:59,601
"Nauka",2025-01-19 21:21:01,2025-01-19 21:47:19,"Projekt","","TWD",0:26:18,26
"Nauka",2025-01-19 22:24:00,2025-01-20 00:33:38,"Kolos","","AiSD",2:9:38,129
"Spanie",2025-01-20 00:33:46,2025-01-20 07:36:30,"","","Niewyspany ",7:2:44,422
"Poza domem",2025-01-20 08:07:45,2025-01-20 13:54:55,"","","Studia",5:47:10,347
"Nauka",2025-01-20 15:42:33,2025-01-20 20:53:55,"Kolos","","AiSD",5:11:22,311
"Spanie",2025-01-20 20:53:53,2025-01-21 06:50:26,"","","Wyspany",9:56:33,596
"Poza domem",2025-01-21 07:08:53,2025-01-21 15:03:02,"","","Studia",7:54:9,474
"Nauka",2025-01-21 15:35:13,2025-01-22 00:21:14,"Kolos","","RP",8:46:1,526
"Spanie",2025-01-22 00:21:16,2025-01-22 10:31:45,"","","Wyspany",10:10:29,610
