Data;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2015-2022 Fold Change
  Male;1,2;1,1;1,0;1,2;1,2;1,1;1,1;1,2;1,3;1,6;1,8;1,6;2,3;3,1;4,2;5,2;6,3;7,5;7,3;7,1;6,6;6,1;4,1;2,6;0,4
Heroin AND Synthetic Opioids other than Methadone;;;;;;;;;;;;;;;0,1;0,3;0,9;1,8;2,6;2,9;2,7;2,8;2,1;1,4;1,6
  Female;;;;;;;;;;;;;;;;0,2;0,4;0,9;1,3;1,4;1,4;1,5;1,1;0,7;1,8
  Male;;;;;;;;;;;;;;;0,1;0,5;1,3;2,8;3,8;4,3;4,1;4,1;3,0;2,1;1,6
Heroin WITHOUT Synthetic Opioids other than Methadone;;;;;;;;;;;;;;;2,6;3,1;3,2;3,1;2,3;1,8;1,7;1,3;0,7;0,4;0,1
  Female;;;;;;;;;;;;;;;1,2;1,4;1,6;1,5;1,2;0,9;0,8;0,5;0,4;0,2;0,1
  Male;;;;;;;;;;;;;;;4,1;4,7;5,0;4,7;3,5;2,8;2,5;2,0;1,1;0,5;0,1
Stimulants5a;1,5;1,4;1,5;1,9;2,1;2,3;2,6;2,9;2,6;2,1;1,9;1,9;2,2;2,2;2,6;3,0;3,8;5,4;7,2;8,0;9,3;12,6;16,3;17,4;4,6
  Female;0,7;0,7;0,8;1,0;1,1;1,2;1,4;1,5;1,4;1,1;1,0;1,1;1,3;1,3;1,5;1,7;2,2;3,1;4,2;4,7;5,3;7,1;9,3;9,7;4,4
  Male;2,3;2,2;2,3;2,8;3,2;3,3;3,8;4,4;3,8;3,1;2,8;2,8;3,1;3,1;3,7;4,2;5,4;7,8;10,3;11,4;13,4;18,1;23,2;25,0;4,6
 Stimulants AND Any Opioid;0,7;0,7;0,7;0,9;0,9;1,0;1,1;1,3;1,2;1,0;0,9;0,9;1,1;1,1;1,3;1,6;2,1;3,3;4,6;5,1;6,1;8,8;11,7;12,7;6,0
  Female;0,3;0,3;0,3;0,4;0,5;0,5;0,6;0,6;0,6;0,5;0,5;0,5;0,7;0,7;0,8;1,0;1,3;1,9;2,7;3,1;3,5;5,0;6,8;7,2;5,5
  Male;1,2;1,1;1,1;1,4;1,4;1,4;1,6;1,9;1,7;1,5;1,3;1,2;1,5;1,5;1,8;2,3;2,9;4,7;6,5;7,2;8,6;12,6;16,5;18,1;6,2
 Stimulants WITHOUT Any Opioid;0,8;0,7;0,8;1,0;1,2;1,3;1,5;1,6;1,4;1,1;1,0;1,0;1,1;1,1;1,3;1,4;1,7;2,1;2,6;2,9;3,2;3,8;4,6;4,7;2,8
  Female;0,4;0,4;0,5;0,6;0,6;0,7;0,8;0,9;0,8;0,6;0,5;0,6;0,6;0,6;0,7;0,7;0,9;1,2;1,5;1,6;1,8;2,1;2,5;2,5;2,8
  Male;1,1;1,1;1,2;1,4;1,8;1,9;2,2;2,5;2,1;1,6;1,5;1,6;1,6;1,6;1,9;1,9;2,5;3,1;3,8;4,2;4,8;5,5;6,7;6,9;2,8
 Stimulants AND Synthetic Opioids other than Methadone;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,3;0,6;1,6;3,0;3,7;4,7;7,5;10,7;12,1;20,2
  Female;;;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,1;0,1;0,1;0,1;0,2;0,4;0,9;1,7;2,2;2,6;4,2;6,2;6,7;16,8
  Male;0,0;0,0;0,0;0,0;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,4;0,9;2,3;4,3;5,2;6,7;10,9;15,2;17,4;19,3
 Stimulants WITHOUT Synthetic Opioids other than Methadone;1,5;1,4;1,5;1,9;2,1;2,3;2,5;2,7;2,5;2,0;1,8;1,8;2,1;2,1;2,5;2,7;3,2;3,8;4,2;4,3;4,6;5,1;5,6;5,3;1,7
  Female;;;1,5;1,9;2,1;2,3;2,6;1,4;1,4;1,1;0,9;1,0;1,2;1,2;1,4;1,5;1,8;2,2;2,5;2,5;2,7;2,9;3,1;3,0;1,7
  Male;2,3;2,2;2,3;2,8;3,1;3,2;3,7;4,2;3,7;3,0;2,7;2,7;3,0;3,0;3,5;3,8;4,5;5,5;6,0;6,2;6,7;7,2;8,0;7,6;1,7
 Cocaine5;1,4;1,3;1,3;1,6;1,8;1,9;2,1;2,5;2,2;1,7;1,4;1,3;1,5;1,4;1,6;1,7;2,1;3,2;4,3;4,5;4,9;6,0;7,3;8,2;3,9
  Female;0,6;0,6;0,7;0,8;0,9;1,0;1,1;1,3;1,1;0,9;0,7;0,7;0,8;0,8;0,9;1,0;1,2;1,8;2,5;2,6;2,7;3,2;4,2;4,6;3,8
  Male;2,1;1,9;2,0;2,4;2,7;2,8;3,1;3,8;3,2;2,5;2,1;2,0;2,2;2,0;2,3;2,4;3,1;4,7;6,2;6,4;7,1;8,7;10,5;11,8;3,8
 Cocaine AND Any Opioid;0,7;0,6;0,6;0,8;0,8;0,9;1,0;1,1;1,0;0,9;0,7;0,7;0,8;0,8;0,9;1,1;1,4;2,3;3,2;3,4;3,8;4,8;5,9;6,6;4,7
  Female;0,3;0,3;0,3;0,4;0,4;0,4;0,5;0,6;0,5;0,4;0,4;0,4;0,5;0,5;0,5;0,6;0,8;1,3;1,8;2,0;2,1;2,6;3,4;3,7;4,6
  Male;1,1;1,0;1,0;1,2;1,3;1,3;1,4;1,7;1,5;1,3;1,1;1,0;1,2;1,1;1,3;1,6;2,1;3,3;4,5;4,8;5,5;7,0;8,4;9,4;4,5
 Cocaine WITHOUT Any Opioid;0,7;0,7;0,7;0,8;1,0;1,0;1,1;1,4;1,2;0,8;0,7;0,6;0,7;0,6;0,7;0,6;0,7;0,9;1,1;1,1;1,1;1,2;1,4;1,6;2,3
  Female;0,3;0,3;0,4;0,4;0,5;0,6;0,6;0,7;0,6;0,5;0,3;0,3;0,3;0,3;0,4;0,4;0,4;0,5;0,7;0,6;0,6;0,6;0,8;0,9;2,3
  Male;1,0;0,9;1,0;1,2;1,4;1,5;1,7;2,1;1,7;1,2;1,0;1,0;1,0;0,9;1,0;0,8;1,0;1,4;1,7;1,6;1,6;1,7;2,1;2,4;2,4
 Cocaine AND Synthetic Opioids other than Methadone;;;;;;;;0,2;0,1;0,0;0,0;0,1;0,1;0,1;0,1;0,2;0,5;1,3;2,3;2,8;3,2;4,3;5,6;6,3;12,6
  Female;;;;;;;;0,1;;;;;;;0,1;0,1;0,3;0,8;1,3;1,6;1,7;2,4;3,2;3,5;11,7
  Male;;;;;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,3;0,7;2,0;3,3;3,9;4,7;6,3;7,9;9,1;13,0
 Cocaine WITHOUT Synthetic Opioids other than Methadone;;;;;;;;2,3;2,1;1,7;1,4;1,2;1,4;1,3;1,5;1,5;1,6;1,9;2,0;1,7;1,7;1,7;1,7;1,9;1,2
  Female;;;;;;;;1,2;1,1;0,9;0,7;0,7;0,8;0,8;0,8;0,9;0,9;1,0;1,2;1,0;1,0;0,8;1,0;1,1;1,2
  Male;;;;;2,6;2,7;3,0;3,6;3,1;2,4;2,0;1,9;2,1;1,9;2,2;2,1;2,4;2,7;2,9;2,5;2,4;2,4;2,6;2,7;1,1
 Psychostimulants With Abuse Potential (primarily methamphetamine)6;0,2;0,2;0,2;0,3;0,4;0,4;0,5;0,5;0,4;0,4;0,5;0,6;0,7;0,8;1,2;1,4;1,8;2,4;3,2;3,9;5,0;7,5;10,0;10,4;5,8
  Female;0,1;0,1;0,1;0,2;0,2;0,3;0,3;0,3;0,3;0,2;0,3;0,4;0,4;0,5;0,7;0,8;1,1;1,4;1,9;2,4;2,9;4,3;5,8;5,9;5,4
  Male;0,3;0,3;0,3;0,5;0,6;0,6;0,8;0,7;0,7;0,6;0,8;0,8;1,0;1,2;1,6;1,9;2,5;3,4;4,5;5,5;7,1;10,6;14,3;15,0;6,0
 Psychostimulants With Abuse Potential AND Any Opioid;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,3;0,4;0,6;0,7;1,1;1,7;2,1;2,8;4,7;6,7;7,2;10,3
  Female;;;;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,3;0,4;0,5;0,7;1,1;1,3;1,7;2,8;4,0;4,2;8,4
  Male;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,2;0,4;0,4;0,6;0,8;1,0;1,5;2,2;2,8;3,8;6,6;9,4;10,2;10,2
 Psychostimulants With Abuse Potential WITHOUT Any Opioid;0,1;0,1;0,1;0,2;0,3;0,3;0,3;0,3;0,2;0,2;0,3;0,4;0,4;0,5;0,8;0,8;1,1;1,3;1,5;1,8;2,2;2,8;3,3;3,2;2,9
  Female;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,1;0,2;0,2;0,2;0,3;0,4;0,4;0,6;0,7;0,8;1,1;1,2;1,5;1,8;1,7;2,8
  Male;0,2;0,2;0,2;0,4;0,4;0,4;0,6;0,5;0,5;0,4;0,5;0,6;0,6;0,8;1,0;1,1;1,5;1,9;2,3;2,7;3,3;4,0;4,9;4,8;3,2
 Psychostimulants With Abuse Potential AND Synthetic Opioids other than Methadone;;;;;;;;;;;;;;;0,1;0,1;0,2;0,3;0,8;1,2;1,8;3,8;6,0;6,8;34,0
  Female;;;;;;;;;;;;;;;0,0;0,1;0,1;0,2;0,5;0,8;1,1;2,2;3,5;3,8;38,0
  Male;;;;;;;;;;;;;;;0,1;0,1;0,2;0,5;1,2;1,6;2,5;5,3;8,5;9,7;48,5
 Psychostimulants With Abuse Potential WITHOUT Synthetic Opioids other than Methadone;;;;;;;;;;;;;;;1,1;1,3;1,6;2,1;2,4;2,7;3,2;3,7;4,0;3,6;2,3
  Female;;;;;;;;;;;;;;;0,7;0,7;1,0;1,2;1,4;1,6;1,8;2,1;2,3;2,1;2,1
  Male;;;;;;;;;;;;;;;1,5;1,8;2,3;2,9;3,3;3,9;4,6;5,3;5,8;5,3;2,3
 Benzodiazepines7;0,4;0,5;0,6;0,7;0,8;0,9;1,1;1,3;1,5;1,6;1,8;2,1;2,2;2,1;2,2;2,5;2,7;3,3;3,6;3,3;3,0;3,8;3,8;3,3;1,2
Female ;0,3;0,3;0,4;0,5;0,6;0,7;0,8;1,0;1,2;1,3;1,5;1,6;1,8;1,7;1,9;2,1;2,3;2,7;2,9;2,7;2,4;2,9;3,0;2,7;1,2
Male;0,5;0,6;0,7;0,9;0,9;1,1;1,3;1,6;1,7;2,0;2,2;2,6;2,6;2,4;2,5;2,8;3,2;4,0;4,2;3,9;3,6;4,7;4,6;3,9;1,2
 Benzodiazepines AND Any Opioid;0,2;0,3;0,4;0,5;0,6;0,7;0,8;1,0;1,2;1,3;1,5;1,8;1,9;1,8;1,8;2,1;2,3;2,9;3,1;2,8;2,6;3,4;3,4;2,8;1,2
  Female;0,2;0,2;0,3;0,4;0,4;0,5;0,6;0,7;1,0;1,0;1,2;1,3;1,5;1,4;1,5;1,8;1,9;2,3;2,4;2,2;2,0;2,5;2,6;2,3;1,2
  Male;0,3;0,4;0,5;0,7;0,7;0,9;1,0;1,3;1,4;1,6;1,8;2,2;2,2;2,1;2,2;2,5;2,7;3,5;3,7;3,4;3,1;4,2;4,1;3,4;1,3
 Benzodiazepines WITHOUT Any Opioid;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,4;0,4;0,4;0,4;0,5;0,5;0,4;0,4;0,4;0,5;1,3
  Female;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,3;0,2;0,3;0,3;0,3;0,3;0,3;0,4;0,3;0,4;0,4;0,5;0,5;0,4;0,4;0,4;0,4;1,0
  Male;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,3;0,3;0,4;0,4;0,4;0,4;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1,0
Benzodiazepines AND Synthetic Opioids other than Methadone;;;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,4;0,6;1,1;1,5;1,6;1,6;2,5;2,7;2,3;3,8
  Female;;;;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,5;0,7;1,1;1,1;1,1;1,7;2,0;1,7;3,4
  Male;;;0,1;0,1;0,1;0,1;0,1;0,2;0,1;0,2;0,2;0,3;0,2;0,2;0,3;0,4;0,7;1,4;2,0;2,1;2,1;3,3;3,5;2,9;4,1
Benzodiazepines WITHOUT Synthetic Opioids other than Methadone;;;0,5;0,6;0,7;0,8;1,0;1,2;1,4;1,4;1,6;1,9;2,0;1,9;2,0;2,1;2,1;2,2;2,1;1,7;1,4;1,3;1,1;1,0;0,5
  Female;;;;0,4;0,5;0,6;0,7;0,9;1,0;1,1;1,3;1,4;1,6;1,5;1,7;1,8;1,8;2,0;1,8;1,6;1,3;1,2;1,0;1,0;0,6
  Male;;;0,6;0,8;0,8;1,0;1,2;1,4;1,6;1,8;2,0;2,3;2,4;2,2;2,2;2,4;2,5;2,6;2,2;1,8;1,5;1,4;1,1;1,0;0,4
Antidepressants8;0,6;0,6;0,7;0,8;0,9;0,9;0,9;1,0;1,1;1,1;1,2;1,2;1,3;1,3;1,4;1,5;1,5;1,4;1,6;1,5;1,5;1,7;1,7;1,7;1,1
Female ;0,6;0,7;0,7;0,9;0,9;1,0;1,0;1,2;1,2;1,3;1,3;1,4;1,5;1,5;1,6;1,7;1,7;1,7;1,8;1,7;1,7;1,8;1,9;1,9;1,1
Male;0,6;0,6;0,7;0,7;0,8;0,8;0,9;0,9;1,0;1,0;1,1;1,1;1,1;1,1;1,1;1,2;1,2;1,2;1,3;1,2;1,3;1,5;1,5;1,6;1,3
Antidepressants AND Any Opioid;0,2;0,3;0,3;0,4;0,4;0,5;0,5;0,5;0,6;0,7;0,7;0,8;0,8;0,8;0,8;0,9;0,9;0,9;1,0;0,9;0,9;1,1;1,1;1,1;1,2
  Female;0,2;0,3;0,3;0,4;0,5;0,5;0,5;0,6;0,7;0,8;0,8;0,8;0,9;0,9;1,0;1,1;1,1;1,0;1,1;1,0;1,0;1,2;1,2;1,1;1,0
  Male;0,2;0,2;0,3;0,4;0,4;0,4;0,5;0,5;0,5;0,6;0,6;0,6;0,7;0,7;0,7;0,8;0,8;0,8;0,9;0,8;0,8;1,0;1,0;1,1;1,4
Antidepressants WITHOUT Any Opioid;0,4;0,3;0,4;0,4;0,5;0,4;0,4;0,5;0,5;0,4;0,5;0,4;0,5;0,5;0,6;0,6;0,6;0,5;0,6;0,6;0,6;0,6;0,6;0,6;1,0
  Female;0,4;0,4;0,4;0,5;0,4;0,5;0,5;0,6;0,5;0,5;0,5;0,6;0,6;0,6;0,6;0,6;0,6;0,7;0,7;0,7;0,7;0,6;0,7;0,8;1,3
  Male;0,4;0,4;0,4;0,3;0,4;0,4;0,4;0,4;0,5;0,4;0,5;0,5;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0,5;0,5;0,5;0,5;1,3
Antidepressants AND Synthetic Opioids other than Methadone;;;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,1;0,1;0,2;0,2;0,3;0,3;0,4;0,4;0,5;0,7;0,8;0,8;2,7
  Female;;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,3;0,3;0,4;0,4;0,5;0,7;0,8;0,8;2,7
  Male;;0,0;0,0;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,3;0,5;0,4;0,5;0,8;0,8;0,9;4,5
Antidepressants WITHOUT Synthetic Opioids other than Methadone;;;0,6;0,7;0,8;0,8;0,8;0,9;1,0;1,0;1,0;1,0;1,2;1,2;1,2;1,3;1,2;1,1;1,2;1,1;1,0;1,0;0,9;0,9;0,8
  Female;;0,6;0,6;0,8;0,8;0,9;0,9;1,1;1,1;1,1;1,1;1,2;1,3;1,3;1,4;1,4;1,4;1,4;1,4;1,3;1,2;1,1;1,1;1,1;0,8
  Male;;0,6;0,7;0,6;0,7;0,7;0,8;0,8;0,9;0,9;1,0;1,0;1,0;1,0;0,9;1,0;1,0;0,9;0,8;0,8;0,8;0,7;0,7;0,7;0,7
