data,aktywnosc,przedmiot,czas_total_min
7.01.2025,dojazdy_na_uczelnie,,50
7.01.2025,hobby,,80
7.01.2025,odpoczynek_rozrywka,,30
7.01.2025,hobby,,110
7.01.2025,czas_z_rodzina,,30
8.01.2025,sen,,500
8.01.2025,sport,,120
8.01.2025,nauka,MN,260
8.01.2025,spotkania_towarzyskie,,60
8.01.2025,czas_z_rodzina,,30
8.01.2025,hobby,,45
9.01.2025,sen,,380
9.01.2025,dojazdy_na_uczelnie,,45
9.01.2025,zajecia_na_uczelni,RP,90
9.01.2025,zajecia_na_uczelni,jezyki,90
9.01.2025,zajecia_na_uczelni,MN,40
9.01.2025,zajecia_na_uczelni,TWD,180
9.01.2025,nauka,MN,50
9.01.2025,nauka,TWD,30
9.01.2025,przerwy_na_uczelni,,70
9.01.2025,dojazdy_na_uczelnie,,50
9.01.2025,hobby,,35
9.01.2025,czas_z_rodzina,,40
9.01.2025,odpoczynek_rozrywka,,20
10.01.2025,sen,,490
10.01.2025,dojazdy_na_uczelnie,,45
10.01.2025,zajecia_na_uczelni,RP,90
10.01.2025,zajecia_na_uczelni,MN,45
10.01.2025,nauka,TWD,40
10.01.2025,nauka,MN,20
10.01.2025,nauka,RP,10
10.01.2025,spotkania_towarzyskie,,120
10.01.2025,przerwy_na_uczelni,,30
10.01.2025,hobby,,50
10.01.2025,nauka,TWD,120
11.01.2025,sen,,480
11.01.2025,nauka,TWD,220
11.01.2025,nauka,MN,90
11.01.2025,nauka,jezyki,15
11.01.2025,odpoczynek_rozrywka,,60
11.01.2025,hobby,,60
12.01.2025,sen,,470
12.01.2025,nauka,jezyki,100
12.01.2025,nauka,ASD,50
12.01.2025,hobby,,130
13.01.2025,sen,,470
13.01.2025,dojazdy_na_uczelnie,,30
13.01.2025,sport,,90
13.01.2025,spotkania_towarzyskie,,90
13.01.2025,nauka,RP,80
13.01.2025,nauka,TWD,20
13.01.2025,nauka,MN,20
13.01.2025,nauka,ZPOiF,60
13.01.2025,zajecia_na_uczelni,ZPOiF,30
13.01.2025,dojazdy_na_uczelnie,,55
13.01.2025,odpoczynek_rozrywka,,20
13.01.2025,hobby,,90
14.01.2025,sen,,480
14.01.2025,dojazdy_na_uczelnie,,50
14.01.2025,nauka,TWD,15
14.01.2025,nauka,MN,40
14.01.2025,hobby,,60
14.01.2025,zajecia_na_uczelni,ASD,90
14.01.2025,zajecia_na_uczelni,jezyki,90
14.01.2025,zajecia_na_uczelni,MN,90
14.01.2025,przerwy_na_uczelni,,75
14.01.2025,dojazdy_na_uczelnie,,55
14.01.2025,czas_z_rodzina,,60
15.01.2025,sen,,430
15.01.2025,hobby,,80
15.01.2025,nauka,MN,60
15.01.2025,odpoczynek_rozrywka,,40
15.01.2025,nauka,RP,30
15.01.2025,nauka,TWD,130
15.01.2025,dojazdy_na_uczelnie,,50
15.01.2025,sport,,90
15.01.2025,dojazdy_na_uczelnie,,50
15.01.2025,nauka,jezyki,15
15.01.2025,nauka,ASD,75
16.01.2025,sen,,480
16.01.2025,dojazdy_na_uczelnie,,45
16.01.2025,nauka,jezyki,10
16.01.2025,zajecia_na_uczelni,jezyki,60
16.01.2025,nauka,ZPOiF,40
16.01.2025,nauka,MN,20
16.01.2025,zajecia_na_uczelni,MN,60
16.01.2025,przerwy_na_uczelni,,150
16.01.2025,spotkania_towarzyskie,,60
16.01.2025,zajecia_na_uczelni,TWD,130
16.01.2025,dojazdy_na_uczelnie,,55
16.01.2025,nauka,RP,40
16.01.2025,odpoczynek_rozrywka,,15
16.01.2025,hobby,,70
17.01.2025,sen,,480
17.01.2025,hobby,,85
17.01.2025,nauka,RP,20
17.01.2025,dojazdy_na_uczelnie,,45
17.01.2025,zajecia_na_uczelni,RP,90
17.01.2025,dojazdy_na_uczelnie,,55
17.01.2025,odpoczynek_rozrywka,,45
17.01.2025,hobby,,60
17.01.2025,nauka,ASD,90
17.01.2025,czas_z_rodzina,,30
18.01.2025,sen,,515
18.01.2025,czas_z_rodzina,,180
18.01.2025,hobby,,125
18.01.2025,nauka,ASD,200
18.01.2025,hobby,,40
18.01.2025,odpoczynek_rozrywka,,50
18.01.2025,nauka,RP,70
19.01.2025,sen,,540
19.01.2025,hobby,,150
19.01.2025,nauka,RP,250
19.01.2025,hobby,,60
19.01.2025,czas_z_rodzina,,40
19.01.2025,odpoczynek_rozrywka,,30
19.01.2025,nauka,jezyki,15
